2017 rank,City,State,2017 estimate,2010 Census,Change,2016 land area Sq Mi,2016 land area Sq Km,2016 population density/sq Mi,2016 population/sq Km,Location,Wikipedia Link,City Website
79,St. Petersburg,Florida,"263,255","244,769",+7.55%,618,16012,4223,16312,27°45′43″N 82°38′39″W﻿ / ﻿27.7620°N 82.6441°W﻿ / 27.7620; -82.6441﻿ (St. Petersburg),"https://en.wikipedia.org/wiki/St._Petersburg,_Florida",https://www.stpete.org/
80,Laredo,Texas,"260,654","236,091",+10.40%,1011,26182,2544,9822,27°33′37″N 99°29′21″W﻿ / ﻿27.5604°N 99.4892°W﻿ / 27.5604; -99.4892﻿ (Laredo),"https://en.wikipedia.org/wiki/Laredo,_Texas",http://www.laredotexas.gov/
81,Buffalo,New York,"258,612","261,310",−1.03%,404,10462,6359,24552,42°53′33″N 78°51′35″W﻿ / ﻿42.8925°N 78.8597°W﻿ / 42.8925; -78.8597﻿ (Buffalo),"https://en.wikipedia.org/wiki/Buffalo,_New_York",http://www.city-buffalo.com/
82,Madison,Wisconsin,"255,214","233,209",+9.44%,770,19942,3280,12702,43°05′16″N 89°25′48″W﻿ / ﻿43.0878°N 89.4299°W﻿ / 43.0878; -89.4299﻿ (Madison),"https://en.wikipedia.org/wiki/Madison,_Wisconsin",http://cityofmadison.com
83,Lubbock,Texas,"253,888","229,573",+10.59%,1246,32272,2027,7832,33°33′56″N 101°53′12″W﻿ / ﻿33.5656°N 101.8867°W﻿ / 33.5656; -101.8867﻿ (Lubbock),"https://en.wikipedia.org/wiki/Lubbock,_Texas",http://www.ci.lubbock.tx.us
84,Chandler,Arizona,"253,458","236,123",+7.34%,649,16812,3813,14722,33°16′58″N 111°51′18″W﻿ / ﻿33.2829°N 111.8549°W﻿ / 33.2829; -111.8549﻿ (Chandler),"https://en.wikipedia.org/wiki/Chandler,_Arizona",http://www.chandleraz.gov
85,Scottsdale,Arizona,"249,950","217,385",+14.98%,1839,47632,1341,5182,33°41′03″N 111°51′40″W﻿ / ﻿33.6843°N 111.8611°W﻿ / 33.6843; -111.8611﻿ (Scottsdale),"https://en.wikipedia.org/wiki/Scottsdale,_Arizona",http://www.scottsdaleaz.gov
86,Reno,Nevada,"248,853","225,221",+10.49%,1073,27792,2286,8832,39°32′57″N 119°51′00″W﻿ / ﻿39.5491°N 119.8499°W﻿ / 39.5491; -119.8499﻿ (Reno),"https://en.wikipedia.org/wiki/Reno,_Nevada",/wiki/Nevada_Historical_Marker
87,Glendale,Arizona,"246,709","226,721",+8.82%,591,15312,4161,16072,33°31′59″N 112°11′24″W﻿ / ﻿33.5331°N 112.1899°W﻿ / 33.5331; -112.1899﻿ (Glendale),"https://en.wikipedia.org/wiki/Glendale,_Arizona",http://www.glendaleaz.com
88,Norfolk,Virginia,"244,703","242,803",+0.78%,533,13802,4599,17762,36°55′23″N 76°14′41″W﻿ / ﻿36.9230°N 76.2446°W﻿ / 36.9230; -76.2446﻿ (Norfolk),"https://en.wikipedia.org/wiki/Norfolk,_Virginia",http://www.norfolk.gov/
89,Winston–Salem,North Carolina,"244,605","229,617",+6.53%,1325,34322,1828,7062,36°06′10″N 80°15′40″W﻿ / ﻿36.1027°N 80.2610°W﻿ / 36.1027; -80.2610﻿ (Winston-Salem),"https://en.wikipedia.org/wiki/Winston%E2%80%93Salem,_North_Carolina",http://www.cityofws.org
90,North Las Vegas,Nevada,"242,975","216,961",+11.99%,980,25382,2436,9412,36°17′09″N 115°05′38″W﻿ / ﻿36.2857°N 115.0939°W﻿ / 36.2857; -115.0939﻿ (North Las Vegas),"https://en.wikipedia.org/wiki/North_Las_Vegas,_Nevada",http://www.CityOfNorthLasVegas.com
91,Gilbert,Arizona,"242,354","208,453",+16.26%,680,17612,3487,13462,33°18′37″N 111°44′35″W﻿ / ﻿33.3103°N 111.7431°W﻿ / 33.3103; -111.7431﻿ (Gilbert),"https://en.wikipedia.org/wiki/Gilbert,_Arizona",http://www.gilbertaz.gov
92,Chesapeake,Virginia,"240,397","222,209",+8.19%,3385,87672,703,2712,36°40′46″N 76°18′06″W﻿ / ﻿36.6794°N 76.3018°W﻿ / 36.6794; -76.3018﻿ (Chesapeake),"https://en.wikipedia.org/wiki/Chesapeake,_Virginia",http://www.cityofchesapeake.net/
93,Irving,Texas,"240,373","216,290",+11.13%,670,17352,3557,13732,32°51′28″N 96°58′12″W﻿ / ﻿32.8577°N 96.9700°W﻿ / 32.8577; -96.9700﻿ (Irving),"https://en.wikipedia.org/wiki/Irving,_Texas",http://www.cityofirving.org/
94,Hialeah,Florida,"239,673","224,669",+6.68%,215,5572,10995,42452,25°52′12″N 80°18′10″W﻿ / ﻿25.8699°N 80.3029°W﻿ / 25.8699; -80.3029﻿ (Hialeah),"https://en.wikipedia.org/wiki/Hialeah,_Florida",http://www.hialeahfl.gov
95,Garland,Texas,"238,002","226,876",+4.90%,570,14762,4122,15922,32°54′35″N 96°37′49″W﻿ / ﻿32.9098°N 96.6303°W﻿ / 32.9098; -96.6303﻿ (Garland),"https://en.wikipedia.org/wiki/Garland,_Texas",http://www.garlandtx.gov
96,Fremont,California,"234,962","214,089",+9.75%,775,20072,3008,11612,37°29′40″N 121°56′28″W﻿ / ﻿37.4945°N 121.9412°W﻿ / 37.4945; -121.9412﻿ (Fremont),"https://en.wikipedia.org/wiki/Fremont,_California",http://www.fremont.gov
97,Richmond,Virginia,"227,032","204,214",+11.17%,598,15492,3732,14412,37°31′53″N 77°28′34″W﻿ / ﻿37.5314°N 77.4760°W﻿ / 37.5314; -77.4760﻿ (Richmond),"https://en.wikipedia.org/wiki/Richmond,_Virginia","/wiki/Richmond,_London"
98,Boise,Idaho,"226,570","205,671",+10.16%,821,21262,2718,10492,43°36′01″N 116°13′54″W﻿ / ﻿43.6002°N 116.2317°W﻿ / 43.6002; -116.2317﻿ (Boise),"https://en.wikipedia.org/wiki/Boise,_Idaho",http://www.cityofboise.org
99,Baton Rouge,Louisiana,"225,374","229,493",−1.79%,859,22252,2651,10242,30°26′32″N 91°07′51″W﻿ / ﻿30.4422°N 91.1309°W﻿ / 30.4422; -91.1309﻿ (Baton Rouge),"https://en.wikipedia.org/wiki/Baton_Rouge,_Louisiana",http://www.brgov.com
100,Des Moines,Iowa,"217,521","203,433",+6.93%,889,23022,2424,9362,41°34′21″N 93°36′37″W﻿ / ﻿41.5726°N 93.6102°W﻿ / 41.5726; -93.6102﻿ (Des Moines),"https://en.wikipedia.org/wiki/Des_Moines,_Iowa",http://www.dmgov.org/
101,Spokane,Washington,"217,108","208,916",+3.92%,687,17792,3144,12142,47°40′01″N 117°26′00″W﻿ / ﻿47.6669°N 117.4333°W﻿ / 47.6669; -117.4333﻿ (Spokane),"https://en.wikipedia.org/wiki/Spokane,_Washington",http://www.spokanecity.org
102,San Bernardino,California,"216,995","209,924",+3.37%,615,15932,3516,13582,34°08′30″N 117°17′37″W﻿ / ﻿34.1416°N 117.2936°W﻿ / 34.1416; -117.2936﻿ (San Bernardino),"https://en.wikipedia.org/wiki/San_Bernardino,_California",http://sbcity.org
103,Modesto,California,"214,221","201,165",+6.49%,430,11142,4934,19052,37°38′15″N 121°00′11″W﻿ / ﻿37.6375°N 121.0030°W﻿ / 37.6375; -121.0030﻿ (Modesto),"https://en.wikipedia.org/wiki/Modesto,_California",http://www.modestogov.com
104,Tacoma,Washington,"213,418","198,397",+7.57%,497,12872,4251,16412,47°15′08″N 122°27′35″W﻿ / ﻿47.2522°N 122.4598°W﻿ / 47.2522; -122.4598﻿ (Tacoma),"https://en.wikipedia.org/wiki/Tacoma,_Washington",http://www.cityoftacoma.org/
105,Fontana,California,"211,815","196,069",+8.03%,430,11142,4876,18832,34°06′32″N 117°27′46″W﻿ / ﻿34.1090°N 117.4629°W﻿ / 34.1090; -117.4629﻿ (Fontana),"https://en.wikipedia.org/wiki/Fontana,_California",http://fontana.org
106,Santa Clarita,California,"210,888","176,320",+19.61%,528,13682,3446,13312,34°24′11″N 118°30′15″W﻿ / ﻿34.4030°N 118.5042°W﻿ / 34.4030; -118.5042﻿ (Santa Clarita),"https://en.wikipedia.org/wiki/Santa_Clarita,_California",http://www.santa-clarita.com
107,Birmingham,Alabama,"210,710","212,237",−0.72%,1461,37842,1452,5612,33°31′39″N 86°47′56″W﻿ / ﻿33.5274°N 86.7990°W﻿ / 33.5274; -86.7990﻿ (Birmingham),"https://en.wikipedia.org/wiki/Birmingham,_Alabama",http://www.birminghamal.gov/
108,Oxnard,California,"210,037","197,899",+6.13%,269,6972,7729,29842,34°12′08″N 119°12′17″W﻿ / ﻿34.2023°N 119.2046°W﻿ / 34.2023; -119.2046﻿ (Oxnard),"https://en.wikipedia.org/wiki/Oxnard,_California",https://www.oxnard.org
109,Fayetteville,North Carolina,"209,889","200,564",+4.65%,1477,38252,1386,5352,35°04′58″N 78°58′25″W﻿ / ﻿35.0828°N 78.9735°W﻿ / 35.0828; -78.9735﻿ (Fayetteville),"https://en.wikipedia.org/wiki/Fayetteville,_North_Carolina",http://www.ci.fayetteville.nc.us
110,Rochester,New York,"208,046","210,565",−1.20%,358,9272,5835,22532,43°10′12″N 77°37′01″W﻿ / ﻿43.1699°N 77.6169°W﻿ / 43.1699; -77.6169﻿ (Rochester),"https://en.wikipedia.org/wiki/Rochester,_New_York",https://www.cityofrochester.gov
111,Moreno Valley,California,"207,226","193,365",+7.17%,513,13292,4006,15472,33°55′24″N 117°12′21″W﻿ / ﻿33.9233°N 117.2057°W﻿ / 33.9233; -117.2057﻿ (Moreno Valley),"https://en.wikipedia.org/wiki/Moreno_Valley,_California",http://www.moreno-valley.ca.us
112,Glendale,California,"203,054","191,719",+5.91%,304,7872,6606,25512,34°10′53″N 118°14′45″W﻿ / ﻿34.1814°N 118.2458°W﻿ / 34.1814; -118.2458﻿ (Glendale),"https://en.wikipedia.org/wiki/Glendale,_California",http://glendaleca.gov
113,Yonkers,New York,"202,019","195,976",+3.08%,180,4662,11156,43072,40°56′45″N 73°52′03″W﻿ / ﻿40.9459°N 73.8674°W﻿ / 40.9459; -73.8674﻿ (Yonkers),"https://en.wikipedia.org/wiki/Yonkers,_New_York",http://www.yonkersny.gov/
114,Huntington Beach,California,"201,874","189,992",+6.25%,269,6972,7459,28802,33°41′26″N 118°00′33″W﻿ / ﻿33.6906°N 118.0093°W﻿ / 33.6906; -118.0093﻿ (Huntington Beach),"https://en.wikipedia.org/wiki/Huntington_Beach,_California",http://huntingtonbeachca.gov
115,Aurora,Illinois,"200,965","197,899",+1.55%,449,11632,4479,17292,41°45′49″N 88°17′24″W﻿ / ﻿41.7635°N 88.2901°W﻿ / 41.7635; -88.2901﻿ (Aurora),"https://en.wikipedia.org/wiki/Aurora,_Illinois",#cite_note-gnis-5
116,Salt Lake City,Utah,"200,544","186,440",+7.56%,1112,28802,1742,6732,40°46′37″N 111°55′52″W﻿ / ﻿40.7769°N 111.9310°W﻿ / 40.7769; -111.9310﻿ (Salt Lake City),https://en.wikipedia.org/wiki/Salt_Lake_City,http://www.slcgov.com
117,Amarillo,Texas,"199,826","190,695",+4.79%,1014,26262,1968,7602,35°12′00″N 101°49′49″W﻿ / ﻿35.1999°N 101.8302°W﻿ / 35.1999; -101.8302﻿ (Amarillo),"https://en.wikipedia.org/wiki/Amarillo,_Texas",http://www.amarillo.gov
118,Montgomery,Alabama,"199,518","205,764",−3.04%,1598,41392,1252,4832,32°20′50″N 86°15′58″W﻿ / ﻿32.3472°N 86.2661°W﻿ / 32.3472; -86.2661﻿ (Montgomery),"https://en.wikipedia.org/wiki/Montgomery,_Alabama",http://montgomeryal.gov
119,Grand Rapids,Michigan,"198,829","188,040",+5.74%,444,11502,4424,17082,42°57′40″N 85°39′20″W﻿ / ﻿42.9612°N 85.6556°W﻿ / 42.9612; -85.6556﻿ (Grand Rapids),"https://en.wikipedia.org/wiki/Grand_Rapids,_Michigan",http://www.grcity.us/
120,Little Rock,Arkansas,"198,606","193,524",+2.63%,1187,30742,1673,6462,34°43′31″N 92°21′31″W﻿ / ﻿34.7254°N 92.3586°W﻿ / 34.7254; -92.3586﻿ (Little Rock),"https://en.wikipedia.org/wiki/Little_Rock,_Arkansas",http://www.littlerock.gov
121,Akron,Ohio,"197,846","199,110",−0.63%,620,16062,3188,12312,41°04′50″N 81°31′17″W﻿ / ﻿41.0805°N 81.5214°W﻿ / 41.0805; -81.5214﻿ (Akron),"https://en.wikipedia.org/wiki/Akron,_Ohio",http://akronohio.gov
122,Augusta,Georgia,"197,166","195,844",+0.68%,3025,78352,652,2522,33°21′56″N 82°04′24″W﻿ / ﻿33.3655°N 82.0734°W﻿ / 33.3655; -82.0734﻿ (Augusta),"https://en.wikipedia.org/wiki/Augusta,_Georgia",http://www.augustaga.gov
123,Huntsville,Alabama,"194,585","180,105",+8.04%,2134,55272,905,3492,34°41′56″N 86°40′23″W﻿ / ﻿34.6990°N 86.6730°W﻿ / 34.6990; -86.6730﻿ (Huntsville),"https://en.wikipedia.org/wiki/Huntsville,_Alabama",https://www.huntsvilleal.gov/
124,Columbus,Georgia,"194,058","189,885",+2.20%,2164,56052,913,3532,32°30′37″N 84°52′30″W﻿ / ﻿32.5102°N 84.8749°W﻿ / 32.5102; -84.8749﻿ (Columbus),"https://en.wikipedia.org/wiki/Columbus,_Georgia",http://www.columbusga.gov/
125,Grand Prairie,Texas,"193,837","175,396",+10.51%,723,18732,2637,10182,32°41′13″N 97°01′16″W﻿ / ﻿32.6869°N 97.0211°W﻿ / 32.6869; -97.0211﻿ (Grand Prairie),"https://en.wikipedia.org/wiki/Grand_Prairie,_Texas",https://www.gptx.org
126,Shreveport,Louisiana,"192,036","199,311",−3.65%,1071,27742,1820,7002,32°28′01″N 93°47′32″W﻿ / ﻿32.4669°N 93.7922°W﻿ / 32.4669; -93.7922﻿ (Shreveport),"https://en.wikipedia.org/wiki/Shreveport,_Louisiana",http://www.shreveportla.gov
127,Overland Park,Kansas,"191,278","173,372",+10.33%,751,19452,2516,9712,38°53′20″N 94°41′26″W﻿ / ﻿38.8890°N 94.6906°W﻿ / 38.8890; -94.6906﻿ (Overland Park),"https://en.wikipedia.org/wiki/Overland_Park,_Kansas",http://www.opkansas.org
128,Tallahassee,Florida,"191,049","181,376",+5.33%,1004,26002,1901,7342,30°27′18″N 84°15′12″W﻿ / ﻿30.4551°N 84.2534°W﻿ / 30.4551; -84.2534﻿ (Tallahassee),"https://en.wikipedia.org/wiki/Tallahassee,_Florida",http://www.talgov.com
129,Mobile,Alabama,"190,265","195,111",−2.48%,1394,36102,1384,5342,30°40′06″N 88°06′01″W﻿ / ﻿30.6684°N 88.1002°W﻿ / 30.6684; -88.1002﻿ (Mobile),"https://en.wikipedia.org/wiki/Mobile,_Alabama",http://www.cityofmobile.org/
130,Port St. Lucie,Florida,"189,344","164,603",+15.03%,1189,30792,1557,6012,27°16′50″N 80°23′18″W﻿ / ﻿27.2806°N 80.3883°W﻿ / 27.2806; -80.3883﻿ (Port St. Lucie),"https://en.wikipedia.org/wiki/Port_St._Lucie,_Florida",https://www.cityofpsl.com/
131,Knoxville,Tennessee,"187,347","178,874",+4.74%,985,25512,1891,7302,35°58′15″N 83°56′57″W﻿ / ﻿35.9707°N 83.9493°W﻿ / 35.9707; -83.9493﻿ (Knoxville),"https://en.wikipedia.org/wiki/Knoxville,_Tennessee",http://www.knoxvilletn.gov
132,Worcester,Massachusetts,"185,677","181,045",+2.56%,374,9692,4933,19052,42°16′10″N 71°48′28″W﻿ / ﻿42.2695°N 71.8078°W﻿ / 42.2695; -71.8078﻿ (Worcester),"https://en.wikipedia.org/wiki/Worcester,_Massachusetts",http://www.worcesterma.gov
133,Tempe,Arizona,"185,038","161,719",+14.42%,400,10362,4562,17612,33°23′18″N 111°55′54″W﻿ / ﻿33.3884°N 111.9318°W﻿ / 33.3884; -111.9318﻿ (Tempe),"https://en.wikipedia.org/wiki/Tempe,_Arizona",http://www.tempe.gov
134,Cape Coral,Florida,"183,365","154,305",+18.83%,1056,27352,1703,6582,26°38′36″N 81°59′51″W﻿ / ﻿26.6432°N 81.9974°W﻿ / 26.6432; -81.9974﻿ (Cape Coral),"https://en.wikipedia.org/wiki/Cape_Coral,_Florida",http://www.capecoral.net
135,Brownsville,Texas,"183,299","175,023",+4.73%,1325,34322,1387,5362,25°59′57″N 97°27′18″W﻿ / ﻿25.9991°N 97.4550°W﻿ / 25.9991; -97.4550﻿ (Brownsville),"https://en.wikipedia.org/wiki/Brownsville,_Texas",#cite_note-10
136,McKinney,Texas,"181,330","131,117",+38.30%,630,16322,2735,10562,33°11′55″N 96°40′05″W﻿ / ﻿33.1985°N 96.6680°W﻿ / 33.1985; -96.6680﻿ (McKinney),"https://en.wikipedia.org/wiki/McKinney,_Texas",http://www.mckinneytexas.org
137,Providence,Rhode Island,"180,393","178,042",+1.32%,184,4772,9740,37602,41°49′23″N 71°25′08″W﻿ / ﻿41.8231°N 71.4188°W﻿ / 41.8231; -71.4188﻿ (Providence),"https://en.wikipedia.org/wiki/Providence,_Rhode_Island",http://www.providenceri.com
138,Fort Lauderdale,Florida,"180,072","165,521",+8.79%,346,8962,5166,19952,26°08′28″N 80°08′48″W﻿ / ﻿26.1412°N 80.1467°W﻿ / 26.1412; -80.1467﻿ (Fort Lauderdale),"https://en.wikipedia.org/wiki/Fort_Lauderdale,_Florida",http://www.fortlauderdale.gov
139,Newport News,Virginia,"179,388","180,719",−0.74%,691,17902,2631,10162,37°04′34″N 76°31′19″W﻿ / ﻿37.0762°N 76.5220°W﻿ / 37.0762; -76.5220﻿ (Newport News),"https://en.wikipedia.org/wiki/Newport_News,_Virginia",http://www.nnva.gov
140,Chattanooga,Tennessee,"179,139","167,674",+6.84%,1431,37062,1241,4792,35°03′58″N 85°14′54″W﻿ / ﻿35.0660°N 85.2484°W﻿ / 35.0660; -85.2484﻿ (Chattanooga),"https://en.wikipedia.org/wiki/Chattanooga,_Tennessee",http://www.chattanooga.gov/
141,Rancho Cucamonga,California,"177,452","165,269",+7.37%,400,10362,4413,17042,34°07′24″N 117°33′51″W﻿ / ﻿34.1233°N 117.5642°W﻿ / 34.1233; -117.5642﻿ (Rancho Cucamonga),"https://en.wikipedia.org/wiki/Rancho_Cucamonga,_California",http://www.cityofrc.us
142,Frisco,Texas,"177,286","116,989",+51.54%,677,17532,2417,9332,33°09′19″N 96°49′21″W﻿ / ﻿33.1554°N 96.8226°W﻿ / 33.1554; -96.8226﻿ (Frisco),"https://en.wikipedia.org/wiki/Frisco,_Texas",http://www.friscotexas.gov
143,Sioux Falls,South Dakota,"176,888","153,888",+14.95%,754,19532,2312,8932,43°32′18″N 96°43′55″W﻿ / ﻿43.5383°N 96.7320°W﻿ / 43.5383; -96.7320﻿ (Sioux Falls),"https://en.wikipedia.org/wiki/Sioux_Falls,_South_Dakota",http://www.SiouxFalls.org
144,Oceanside,California,"176,193","167,086",+5.45%,413,10702,4249,16412,33°13′28″N 117°18′22″W﻿ / ﻿33.2245°N 117.3062°W﻿ / 33.2245; -117.3062﻿ (Oceanside),"https://en.wikipedia.org/wiki/Oceanside,_California",http://www.ci.oceanside.ca.us
145,Ontario,California,"175,841","163,924",+7.27%,499,12922,3471,13402,34°02′22″N 117°36′15″W﻿ / ﻿34.0394°N 117.6042°W﻿ / 34.0394; -117.6042﻿ (Ontario),"https://en.wikipedia.org/wiki/Ontario,_California",http://www.ontarioca.gov/
146,Vancouver,Washington,"175,673","161,791",+8.58%,469,12152,3728,14392,45°38′06″N 122°35′45″W﻿ / ﻿45.6349°N 122.5957°W﻿ / 45.6349; -122.5957﻿ (Vancouver),"https://en.wikipedia.org/wiki/Vancouver,_Washington",#cite_note-5
147,Santa Rosa,California,"175,269","167,815",+4.44%,413,10702,4241,16372,38°26′48″N 122°42′22″W﻿ / ﻿38.4468°N 122.7061°W﻿ / 38.4468; -122.7061﻿ (Santa Rosa),"https://en.wikipedia.org/wiki/Santa_Rosa,_California",http://ci.santa-rosa.ca.us
148,Garden Grove,California,"174,226","170,883",+1.96%,180,4662,9714,37512,33°46′44″N 117°57′38″W﻿ / ﻿33.7788°N 117.9605°W﻿ / 33.7788; -117.9605﻿ (Garden Grove),"https://en.wikipedia.org/wiki/Garden_Grove,_California",http://www.ggcity.org
149,Elk Grove,California,"171,844","153,015",+12.31%,422,10932,4022,15532,38°24′53″N 121°23′06″W﻿ / ﻿38.4146°N 121.3850°W﻿ / 38.4146; -121.3850﻿ (Elk Grove),"https://en.wikipedia.org/wiki/Elk_Grove,_California",http://elkgrovecity.org
150,Pembroke Pines,Florida,"170,712","154,019",+10.84%,330,8552,5109,19732,26°01′16″N 80°20′25″W﻿ / ﻿26.0210°N 80.3404°W﻿ / 26.0210; -80.3404﻿ (Pembroke Pines),"https://en.wikipedia.org/wiki/Pembroke_Pines,_Florida",http://www.ppines.com/
151,Salem,Oregon,"169,798","154,637",+9.80%,486,12592,3445,13302,44°55′25″N 123°01′24″W﻿ / ﻿44.9237°N 123.0232°W﻿ / 44.9237; -123.0232﻿ (Salem),"https://en.wikipedia.org/wiki/Salem,_Oregon",http://cityofsalem.net
152,Eugene,Oregon,"168,916","156,185",+8.15%,441,11422,3777,14582,44°03′24″N 123°06′58″W﻿ / ﻿44.0567°N 123.1162°W﻿ / 44.0567; -123.1162﻿ (Eugene),"https://en.wikipedia.org/wiki/Eugene,_Oregon",http://www.eugene-or.gov/
153,Peoria,Arizona,"168,181","154,065",+9.16%,1757,45512,934,3612,33°47′10″N 112°18′29″W﻿ / ﻿33.7862°N 112.3080°W﻿ / 33.7862; -112.3080﻿ (Peoria),"https://en.wikipedia.org/wiki/Peoria,_Arizona",http://www.peoriaaz.gov/
154,Corona,California,"167,836","152,374",+10.15%,395,10232,4222,16302,33°51′43″N 117°33′56″W﻿ / ﻿33.8620°N 117.5655°W﻿ / 33.8620; -117.5655﻿ (Corona),"https://en.wikipedia.org/wiki/Corona,_California",http://www.discovercorona.com/
155,Springfield,Missouri,"167,376","159,498",+4.94%,823,21322,2033,7852,37°11′39″N 93°17′29″W﻿ / ﻿37.1942°N 93.2913°W﻿ / 37.1942; -93.2913﻿ (Springfield),"https://en.wikipedia.org/wiki/Springfield,_Missouri",http://www.springfieldmo.gov/
