2017 rank,City,State,2017 estimate,2010 Census,Change,2016 land area Sq Mi,2016 land area Sq Km,2016 population density/sq Mi,2016 population/sq Km,Location,Wikipedia Link,City Website
156,Jackson,Mississippi,"166,965","173,514",−3.77%,1110,28752,1524,5882,32°18′57″N 90°12′46″W﻿ / ﻿32.3158°N 90.2128°W﻿ / 32.3158; -90.2128﻿ (Jackson),"https://en.wikipedia.org/wiki/Jackson,_Mississippi",http://www.city-data.com/city/Jackson-Mississippi.html
157,Cary,North Carolina,"165,904","135,234",+22.68%,565,14632,2873,11092,35°46′51″N 78°48′48″W﻿ / ﻿35.7809°N 78.8133°W﻿ / 35.7809; -78.8133﻿ (Cary),"https://en.wikipedia.org/wiki/Cary,_North_Carolina",https://www.townofcary.org
158,Fort Collins,Colorado,"165,080","143,986",+14.65%,558,14452,2943,11362,40°32′54″N 105°03′53″W﻿ / ﻿40.5482°N 105.0648°W﻿ / 40.5482; -105.0648﻿ (Fort Collins),"https://en.wikipedia.org/wiki/Fort_Collins,_Colorado",http://fcgov.com
159,Hayward,California,"160,500","144,186",+11.31%,455,11782,3493,13492,37°37′43″N 122°06′09″W﻿ / ﻿37.6287°N 122.1024°W﻿ / 37.6287; -122.1024﻿ (Hayward),"https://en.wikipedia.org/wiki/Hayward,_California",http://www.hayward-ca.gov
160,Lancaster,California,"160,316","156,633",+2.35%,943,24422,1698,6562,34°41′37″N 118°10′31″W﻿ / ﻿34.6936°N 118.1753°W﻿ / 34.6936; -118.1753﻿ (Lancaster),"https://en.wikipedia.org/wiki/Lancaster,_California",http://www.cityoflancasterca.org
161,Alexandria,Virginia,"160,035","139,966",+14.34%,150,3882,10387,40102,38°49′12″N 77°05′03″W﻿ / ﻿38.8201°N 77.0841°W﻿ / 38.8201; -77.0841﻿ (Alexandria),"https://en.wikipedia.org/wiki/Alexandria,_Virginia",http://www.alexandriava.gov
162,Salinas,California,"157,596","150,441",+4.76%,236,6112,6662,25722,36°41′25″N 121°38′01″W﻿ / ﻿36.6902°N 121.6337°W﻿ / 36.6902; -121.6337﻿ (Salinas),"https://en.wikipedia.org/wiki/Salinas,_California",http://www.cityofsalinas.org
163,Palmdale,California,"157,519","152,750",+3.12%,1060,27452,1484,5732,34°35′28″N 118°06′19″W﻿ / ﻿34.5910°N 118.1054°W﻿ / 34.5910; -118.1054﻿ (Palmdale),"https://en.wikipedia.org/wiki/Palmdale,_California",http://www.cityofpalmdale.org
164,Lakewood,Colorado,"154,958","142,980",+8.38%,429,11112,3599,13902,39°41′56″N 105°07′03″W﻿ / ﻿39.6989°N 105.1176°W﻿ / 39.6989; -105.1176﻿ (Lakewood),"https://en.wikipedia.org/wiki/Lakewood,_Colorado",http://www.ci.lakewood.co.us/
165,Springfield,Massachusetts,"154,758","153,060",+1.11%,319,8262,4830,18602,42°06′56″N 72°32′24″W﻿ / ﻿42.1155°N 72.5400°W﻿ / 42.1155; -72.5400﻿ (Springfield),"https://en.wikipedia.org/wiki/Springfield,_Massachusetts",http://www.springfield-ma.gov
166,Sunnyvale,California,"153,656","140,081",+9.69%,220,5702,6944,26812,37°23′09″N 122°01′35″W﻿ / ﻿37.3858°N 122.0263°W﻿ / 37.3858; -122.0263﻿ (Sunnyvale),"https://en.wikipedia.org/wiki/Sunnyvale,_California",http://sunnyvale.ca.gov
167,Hollywood,Florida,"153,627","140,768",+9.13%,273,7072,5568,21502,26°01′52″N 80°09′53″W﻿ / ﻿26.0310°N 80.1646°W﻿ / 26.0310; -80.1646﻿ (Hollywood),"https://en.wikipedia.org/wiki/Hollywood,_Florida",http://www.hollywoodfl.org/
168,Pasadena,Texas,"153,520","149,043",+3.00%,435,11272,3525,13612,29°39′31″N 95°09′02″W﻿ / ﻿29.6586°N 95.1506°W﻿ / 29.6586; -95.1506﻿ (Pasadena),"https://en.wikipedia.org/wiki/Pasadena,_Texas",http://www.ci.pasadena.tx.us/
169,Clarksville,Tennessee,"153,205","132,929",+15.25%,983,25462,1529,5902,36°33′59″N 87°20′43″W﻿ / ﻿36.5664°N 87.3452°W﻿ / 36.5664; -87.3452﻿ (Clarksville),"https://en.wikipedia.org/wiki/Clarksville,_Tennessee",http://www.cityofclarksville.com/
170,Pomona,California,"152,939","149,058",+2.60%,230,5962,6630,25602,34°03′31″N 117°45′40″W﻿ / ﻿34.0585°N 117.7611°W﻿ / 34.0585; -117.7611﻿ (Pomona),"https://en.wikipedia.org/wiki/Pomona,_California",http://www.ci.pomona.ca.us
171,Kansas City,Kansas,"152,938","145,786",+4.91%,1248,32322,1216,4702,39°07′21″N 94°44′30″W﻿ / ﻿39.1225°N 94.7418°W﻿ / 39.1225; -94.7418﻿ (Kansas City),"https://en.wikipedia.org/wiki/Kansas_City,_Kansas",http://wycokck.org
172,Macon,Georgia,"152,663","91,351",+67.12%,2493,64572,612,2362,32°48′32″N 83°41′39″W﻿ / ﻿32.8088°N 83.6942°W﻿ / 32.8088; -83.6942﻿ (Macon),"https://en.wikipedia.org/wiki/Macon,_Georgia",http://maconbibb.us/
173,Escondido,California,"151,969","143,911",+5.60%,371,9612,4087,15782,33°07′59″N 117°04′26″W﻿ / ﻿33.1331°N 117.0740°W﻿ / 33.1331; -117.0740﻿ (Escondido),"https://en.wikipedia.org/wiki/Escondido,_California",http://www.escondido.org
174,Paterson,New Jersey,"148,678","146,199",+1.70%,84,2182,17500,68002,40°54′53″N 74°09′46″W﻿ / ﻿40.9148°N 74.1628°W﻿ / 40.9148; -74.1628﻿ (Paterson),"https://en.wikipedia.org/wiki/Paterson,_New_Jersey",http://www.patersonnj.gov
175,Joliet,Illinois,"148,462","147,433",+0.70%,644,16682,2302,8892,41°31′04″N 88°08′56″W﻿ / ﻿41.5177°N 88.1488°W﻿ / 41.5177; -88.1488﻿ (Joliet),"https://en.wikipedia.org/wiki/Joliet,_Illinois",#cite_note-2010_cp-5
176,Naperville,Illinois,"147,682","141,853",+4.11%,387,10022,3802,14682,41°44′57″N 88°09′43″W﻿ / ﻿41.7492°N 88.1620°W﻿ / 41.7492; -88.1620﻿ (Naperville),"https://en.wikipedia.org/wiki/Naperville,_Illinois",#cite_note-gnis-4
177,Rockford,Illinois,"147,051","152,871",−3.81%,635,16452,2325,8982,42°15′32″N 89°03′53″W﻿ / ﻿42.2588°N 89.0646°W﻿ / 42.2588; -89.0646﻿ (Rockford),"https://en.wikipedia.org/wiki/Rockford,_Illinois",#cite_note-usgs-5
178,Torrance,California,"146,758","145,438",+0.91%,205,5312,7180,27702,33°50′06″N 118°20′29″W﻿ / ﻿33.8350°N 118.3414°W﻿ / 33.8350; -118.3414﻿ (Torrance),"https://en.wikipedia.org/wiki/Torrance,_California",http://www.torranceca.gov
179,Bridgeport,Connecticut,"146,579","144,229",+1.63%,161,4172,9064,35002,41°11′15″N 73°11′45″W﻿ / ﻿41.1874°N 73.1958°W﻿ / 41.1874; -73.1958﻿ (Bridgeport),"https://en.wikipedia.org/wiki/Bridgeport,_Connecticut",http://bridgeportct.gov/
180,Savannah,Georgia,"146,444","136,286",+7.45%,1036,26832,1417,5472,32°00′09″N 81°09′13″W﻿ / ﻿32.0025°N 81.1536°W﻿ / 32.0025; -81.1536﻿ (Savannah),"https://en.wikipedia.org/wiki/Savannah,_Georgia",http://www.savannahga.gov/
181,Killeen,Texas,"145,482","127,921",+13.73%,535,13862,2680,10302,31°04′40″N 97°43′55″W﻿ / ﻿31.0777°N 97.7320°W﻿ / 31.0777; -97.7320﻿ (Killeen),"https://en.wikipedia.org/wiki/Killeen,_Texas",http://www.killeentexas.gov
182,Bellevue,Washington,"144,444","122,363",+18.05%,335,8682,4221,16302,47°35′52″N 122°09′23″W﻿ / ﻿47.5979°N 122.1565°W﻿ / 47.5979; -122.1565﻿ (Bellevue),"https://en.wikipedia.org/wiki/Bellevue,_Washington",http://www.bellevuewa.gov/
183,Mesquite,Texas,"143,949","139,824",+2.95%,472,12222,3045,11762,32°45′46″N 96°35′20″W﻿ / ﻿32.7629°N 96.5888°W﻿ / 32.7629; -96.5888﻿ (Mesquite),"https://en.wikipedia.org/wiki/Mesquite,_Texas",http://cityofmesquite.com
184,Syracuse,New York,"143,396","145,170",−1.22%,250,6472,5735,22142,43°02′28″N 76°08′37″W﻿ / ﻿43.0410°N 76.1436°W﻿ / 43.0410; -76.1436﻿ (Syracuse),"https://en.wikipedia.org/wiki/Syracuse,_New_York",http://www.syrgov.net
185,McAllen,Texas,"142,696","129,877",+9.87%,584,15132,2435,9402,26°13′56″N 98°14′47″W﻿ / ﻿26.2322°N 98.2464°W﻿ / 26.2322; -98.2464﻿ (McAllen),"https://en.wikipedia.org/wiki/McAllen,_Texas",http://www.mcallen.net
186,Pasadena,California,"142,647","137,122",+4.03%,230,5962,6176,23852,34°09′38″N 118°08′23″W﻿ / ﻿34.1606°N 118.1396°W﻿ / 34.1606; -118.1396﻿ (Pasadena),"https://en.wikipedia.org/wiki/Pasadena,_California",http://www.cityofpasadena.net
187,Orange,California,"140,560","136,416",+3.04%,254,6582,5532,21362,33°47′13″N 117°51′41″W﻿ / ﻿33.7870°N 117.8613°W﻿ / 33.7870; -117.8613﻿ (Orange),"https://en.wikipedia.org/wiki/Orange,_California",http://www.cityoforange.org
188,Fullerton,California,"140,392","135,161",+3.87%,224,5802,6282,24252,33°53′09″N 117°55′41″W﻿ / ﻿33.8857°N 117.9280°W﻿ / 33.8857; -117.9280﻿ (Fullerton),"https://en.wikipedia.org/wiki/Fullerton,_California",http://www.ci.fullerton.ca.us
189,Dayton,Ohio,"140,371","141,527",−0.82%,557,14432,2522,9742,39°46′39″N 84°11′59″W﻿ / ﻿39.7774°N 84.1996°W﻿ / 39.7774; -84.1996﻿ (Dayton),"https://en.wikipedia.org/wiki/Dayton,_Ohio",http://daytonohio.gov
190,Miramar,Florida,"140,328","122,041",+14.98%,294,7612,4709,18182,25°58′37″N 80°20′09″W﻿ / ﻿25.9770°N 80.3358°W﻿ / 25.9770; -80.3358﻿ (Miramar),"https://en.wikipedia.org/wiki/Miramar,_Florida",http://www.miramarfl.gov
191,Olathe,Kansas,"137,472","125,872",+9.22%,609,15772,2225,8592,38°53′03″N 94°49′10″W﻿ / ﻿38.8843°N 94.8195°W﻿ / 38.8843; -94.8195﻿ (Olathe),"https://en.wikipedia.org/wiki/Olathe,_Kansas",http://www.olatheks.org/
192,Thornton,Colorado,"136,978","118,772",+15.33%,357,9252,3829,14782,39°55′10″N 104°56′34″W﻿ / ﻿39.9194°N 104.9428°W﻿ / 39.9194; -104.9428﻿ (Thornton),"https://en.wikipedia.org/wiki/Thornton,_Colorado",http://www.cityofthornton.net/
193,Waco,Texas,"136,436","124,805",+9.32%,890,23052,1510,5802,31°33′36″N 97°11′10″W﻿ / ﻿31.5601°N 97.1860°W﻿ / 31.5601; -97.1860﻿ (Waco),"https://en.wikipedia.org/wiki/Waco,_Texas",http://www.waco-texas.com/
194,Murfreesboro,Tennessee,"136,372","108,755",+25.39%,559,14482,2360,9102,35°51′08″N 86°24′58″W﻿ / ﻿35.8522°N 86.4160°W﻿ / 35.8522; -86.4160﻿ (Murfreesboro),"https://en.wikipedia.org/wiki/Murfreesboro,_Tennessee",http://www.murfreesborotn.gov
195,Denton,Texas,"136,268","113,383",+20.18%,934,24192,1433,5532,33°13′00″N 97°08′29″W﻿ / ﻿33.2166°N 97.1414°W﻿ / 33.2166; -97.1414﻿ (Denton),"https://en.wikipedia.org/wiki/Denton,_Texas",http://www.cityofdenton.com/
196,West Valley City,Utah,"136,170","129,480",+5.17%,355,9192,3847,14852,40°41′19″N 112°00′42″W﻿ / ﻿40.6885°N 112.0118°W﻿ / 40.6885; -112.0118﻿ (West Valley City),"https://en.wikipedia.org/wiki/West_Valley_City,_Utah",http://www.wvc-ut.gov/
197,Midland,Texas,"136,089","111,147",+22.44%,744,19272,1809,6982,32°01′29″N 102°06′49″W﻿ / ﻿32.0246°N 102.1135°W﻿ / 32.0246; -102.1135﻿ (Midland),"https://en.wikipedia.org/wiki/Midland,_Texas",http://www.midlandtexas.gov
198,Carrollton,Texas,"135,710","119,097",+13.95%,363,9402,3674,14192,32°59′18″N 96°53′59″W﻿ / ﻿32.9884°N 96.8998°W﻿ / 32.9884; -96.8998﻿ (Carrollton),"https://en.wikipedia.org/wiki/Carrollton,_Texas",http://www.cityofcarrollton.com
199,Roseville,California,"135,329","118,788",+13.92%,430,11142,3085,11912,38°46′08″N 121°19′08″W﻿ / ﻿38.7690°N 121.3189°W﻿ / 38.7690; -121.3189﻿ (Roseville),"https://en.wikipedia.org/wiki/Roseville,_California",https://geonames.usgs.gov/apex/f?p=gnispq:3:::NO::P3_FID:1659544
200,Warren,Michigan,"135,022","134,056",+0.72%,344,8912,3928,15172,42°29′34″N 83°01′30″W﻿ / ﻿42.4929°N 83.0250°W﻿ / 42.4929; -83.0250﻿ (Warren),"https://en.wikipedia.org/wiki/Warren,_Michigan",http://www.cityofwarren.org/
201,Charleston,South Carolina,"134,875","120,083",+12.32%,1090,28232,1233,4762,32°49′04″N 79°57′32″W﻿ / ﻿32.8179°N 79.9590°W﻿ / 32.8179; -79.9590﻿ (Charleston),"https://en.wikipedia.org/wiki/Charleston,_South_Carolina",http://www.charleston-sc.gov
202,Hampton,Virginia,"134,669","137,436",−2.01%,515,13342,2629,10152,37°02′53″N 76°17′50″W﻿ / ﻿37.0480°N 76.2971°W﻿ / 37.0480; -76.2971﻿ (Hampton),"https://en.wikipedia.org/wiki/Hampton,_Virginia",http://www.hampton.gov
203,Surprise,Arizona,"134,085","117,517",+14.10%,1079,27952,1230,4702,33°40′14″N 112°27′10″W﻿ / ﻿33.6706°N 112.4527°W﻿ / 33.6706; -112.4527﻿ (Surprise),"https://en.wikipedia.org/wiki/Surprise,_Arizona",http://www.surpriseaz.gov
204,Columbia,South Carolina,"133,114","129,272",+2.97%,1335,34582,1006,3882,34°01′45″N 80°53′53″W﻿ / ﻿34.0291°N 80.8980°W﻿ / 34.0291; -80.8980﻿ (Columbia),"https://en.wikipedia.org/wiki/Columbia,_South_Carolina",http://www.columbiasc.net
205,Coral Springs,Florida,"133,037","121,096",+9.86%,238,6162,5465,21102,26°16′15″N 80°15′33″W﻿ / ﻿26.2707°N 80.2593°W﻿ / 26.2707; -80.2593﻿ (Coral Springs),"https://en.wikipedia.org/wiki/Coral_Springs,_Florida",http://www.coralsprings.org/
206,Visalia,California,"133,010","124,442",+6.89%,375,9712,3495,13492,36°19′38″N 119°19′44″W﻿ / ﻿36.3273°N 119.3289°W﻿ / 36.3273; -119.3289﻿ (Visalia),"https://en.wikipedia.org/wiki/Visalia,_California",http://www.ci.visalia.ca.us
207,Sterling Heights,Michigan,"132,631","129,699",+2.26%,365,9452,3628,14012,42°34′52″N 83°01′49″W﻿ / ﻿42.5812°N 83.0303°W﻿ / 42.5812; -83.0303﻿ (Sterling Heights),"https://en.wikipedia.org/wiki/Sterling_Heights,_Michigan",http://www.sterling-heights.net/
208,Gainesville,Florida,"132,249","124,354",+6.35%,623,16142,2112,8152,29°40′44″N 82°20′46″W﻿ / ﻿29.6788°N 82.3461°W﻿ / 29.6788; -82.3461﻿ (Gainesville),"https://en.wikipedia.org/wiki/Gainesville,_Florida",http://www.cityofgainesville.org
209,Cedar Rapids,Iowa,"132,228","126,326",+4.67%,708,18342,1852,7152,41°58′01″N 91°40′40″W﻿ / ﻿41.9670°N 91.6778°W﻿ / 41.9670; -91.6778﻿ (Cedar Rapids),"https://en.wikipedia.org/wiki/Cedar_Rapids,_Iowa",http://www.cedar-rapids.org/
210,New Haven,Connecticut,"131,014","129,779",+0.95%,187,4842,6948,26832,41°18′39″N 72°55′30″W﻿ / ﻿41.3108°N 72.9250°W﻿ / 41.3108; -72.9250﻿ (New Haven),"https://en.wikipedia.org/wiki/New_Haven,_Connecticut",http://www.newhavenct.gov
211,Stamford,Connecticut,"130,824","122,643",+6.67%,376,9742,3434,13262,41°04′48″N 73°32′46″W﻿ / ﻿41.0799°N 73.5460°W﻿ / 41.0799; -73.5460﻿ (Stamford),"https://en.wikipedia.org/wiki/Stamford,_Connecticut",http://www.stamfordct.gov/
212,Elizabeth,New Jersey,"130,215","124,969",+4.20%,123,3192,10459,40382,40°39′59″N 74°11′37″W﻿ / ﻿40.6664°N 74.1935°W﻿ / 40.6664; -74.1935﻿ (Elizabeth),"https://en.wikipedia.org/wiki/Elizabeth,_New_Jersey",http://www.elizabethnj.org/
213,Concord,California,"129,783","122,067",+6.32%,305,7902,4221,16302,37°58′20″N 122°00′06″W﻿ / ﻿37.9722°N 122.0016°W﻿ / 37.9722; -122.0016﻿ (Concord),"https://en.wikipedia.org/wiki/Concord,_California",http://www.ci.concord.ca.us
214,Thousand Oaks,California,"128,995","126,683",+1.83%,552,14302,2335,9022,34°11′36″N 118°52′27″W﻿ / ﻿34.1933°N 118.8742°W﻿ / 34.1933; -118.8742﻿ (Thousand Oaks),"https://en.wikipedia.org/wiki/Thousand_Oaks,_California",http://www.toaks.org
215,Kent,Washington,"128,458","92,411",+39.01%,337,8732,3784,14612,47°23′17″N 122°12′46″W﻿ / ﻿47.3880°N 122.2127°W﻿ / 47.3880; -122.2127﻿ (Kent),"https://en.wikipedia.org/wiki/Kent,_Washington",http://www.kentwa.gov/
216,Santa Clara,California,"127,134","116,468",+9.16%,184,4772,6845,26432,37°21′53″N 121°58′04″W﻿ / ﻿37.3646°N 121.9679°W﻿ / 37.3646; -121.9679﻿ (Santa Clara),"https://en.wikipedia.org/wiki/Santa_Clara,_California",http://SantaClaraCA.gov
217,Simi Valley,California,"126,878","124,237",+2.13%,415,10752,3044,11752,34°16′01″N 118°44′55″W﻿ / ﻿34.2669°N 118.7485°W﻿ / 34.2669; -118.7485﻿ (Simi Valley),"https://en.wikipedia.org/wiki/Simi_Valley,_California",http://www.simivalley.org
218,Lafayette,Louisiana,"126,848","120,623",+5.16%,538,13932,2372,9162,30°12′27″N 92°01′43″W﻿ / ﻿30.2074°N 92.0285°W﻿ / 30.2074; -92.0285﻿ (Lafayette),"https://en.wikipedia.org/wiki/Lafayette,_Louisiana",/wiki/Help:Maintenance_template_removal
219,Topeka,Kansas,"126,587","127,473",−0.70%,615,15932,2062,7962,39°02′05″N 95°41′46″W﻿ / ﻿39.0347°N 95.6962°W﻿ / 39.0347; -95.6962﻿ (Topeka),"https://en.wikipedia.org/wiki/Topeka,_Kansas",http://www.topeka.org
220,Athens,Georgia,"125,691","115,452",+8.87%,1164,30152,1060,4102,33°56′59″N 83°22′12″W﻿ / ﻿33.9496°N 83.3701°W﻿ / 33.9496; -83.3701﻿ (Athens),"https://en.wikipedia.org/wiki/Athens,_Georgia",http://www.athensclarkecounty.com/
221,Round Rock,Texas,"123,678","99,887",+23.82%,356,9222,3396,13112,30°31′31″N 97°39′58″W﻿ / ﻿30.5252°N 97.6660°W﻿ / 30.5252; -97.6660﻿ (Round Rock),"https://en.wikipedia.org/wiki/Round_Rock,_Texas",http://www.roundrocktexas.gov/
222,Hartford,Connecticut,"123,400","124,775",−1.10%,174,4512,7083,27352,41°45′57″N 72°40′54″W﻿ / ﻿41.7659°N 72.6816°W﻿ / 41.7659; -72.6816﻿ (Hartford),"https://en.wikipedia.org/wiki/Hartford,_Connecticut",http://www.hartford.gov
223,Norman,Oklahoma,"122,843","110,925",+10.74%,1788,46312,683,2642,35°14′26″N 97°20′43″W﻿ / ﻿35.2406°N 97.3453°W﻿ / 35.2406; -97.3453﻿ (Norman),"https://en.wikipedia.org/wiki/Norman,_Oklahoma",http://www.ci.norman.ok.us
224,Victorville,California,"122,441","115,903",+5.64%,733,18982,1668,6442,34°31′40″N 117°21′13″W﻿ / ﻿34.5277°N 117.3536°W﻿ / 34.5277; -117.3536﻿ (Victorville),"https://en.wikipedia.org/wiki/Victorville,_California",http://www.victorvilleca.gov/
225,Fargo,North Dakota,"122,359","105,549",+15.93%,493,12772,2450,9502,46°51′55″N 96°49′44″W﻿ / ﻿46.8652°N 96.8290°W﻿ / 46.8652; -96.8290﻿ (Fargo),"https://en.wikipedia.org/wiki/Fargo,_North_Dakota",http://www.cityoffargo.com
226,Berkeley,California,"122,324","112,580",+8.66%,105,2722,11547,44582,37°52′01″N 122°17′57″W﻿ / ﻿37.8670°N 122.2991°W﻿ / 37.8670; -122.2991﻿ (Berkeley),"https://en.wikipedia.org/wiki/Berkeley,_California",http://www.cityofberkeley.info
227,Vallejo,California,"122,105","115,942",+5.32%,307,7952,3951,15252,38°06′28″N 122°15′50″W﻿ / ﻿38.1079°N 122.2640°W﻿ / 38.1079; -122.2640﻿ (Vallejo),"https://en.wikipedia.org/wiki/Vallejo,_California",http://www.ci.vallejo.ca.us
228,Abilene,Texas,"121,885","117,063",+4.12%,1067,27642,1146,4422,32°27′16″N 99°44′17″W﻿ / ﻿32.4545°N 99.7381°W﻿ / 32.4545; -99.7381﻿ (Abilene),"https://en.wikipedia.org/wiki/Abilene,_Texas",http://abilenetx.com
229,Columbia,Missouri,"121,717","108,500",+12.18%,650,16832,1856,7172,38°57′06″N 92°19′43″W﻿ / ﻿38.951561°N 92.328638°W﻿ / 38.951561; -92.328638﻿ (Columbia),"https://en.wikipedia.org/wiki/Columbia,_Missouri",#cite_note-dpmpnc-9
230,Ann Arbor,Michigan,"121,477","113,934",+6.62%,281,7282,4298,16592,42°16′34″N 83°43′51″W﻿ / ﻿42.2761°N 83.7309°W﻿ / 42.2761; -83.7309﻿ (Ann Arbor),"https://en.wikipedia.org/wiki/Ann_Arbor,_Michigan",http://www.a2gov.org/
231,Allentown,Pennsylvania,"121,283","118,032",+2.75%,175,4532,6882,26572,40°35′37″N 75°28′42″W﻿ / ﻿40.5936°N 75.4784°W﻿ / 40.5936; -75.4784﻿ (Allentown),"https://en.wikipedia.org/wiki/Allentown,_Pennsylvania",http://www.allentownpa.gov/
232,Pearland,Texas,"119,940","91,252",+31.44%,463,11992,2453,9472,29°33′21″N 95°19′23″W﻿ / ﻿29.5558°N 95.3231°W﻿ / 29.5558; -95.3231﻿ (Pearland),"https://en.wikipedia.org/wiki/Pearland,_Texas",http://www.cityofpearland.com
233,Beaumont,Texas,"119,114","118,296",+0.69%,821,21262,1441,5562,30°05′06″N 94°08′43″W﻿ / ﻿30.0849°N 94.1453°W﻿ / 30.0849; -94.1453﻿ (Beaumont),"https://en.wikipedia.org/wiki/Beaumont,_Texas",http://beaumonttexas.gov
